station_name,lat,lng,no_return_pc,daily_deps,daily_arrs
9 Ave & W 22 St,40.7454973,-74.00197139,-0.8,228.7,230.4
9 Ave & W 39 St,40.756403523272496,-73.99410143494606,-1.0,9.5,9.6
9 Ave & W 45 St,40.76019252,-73.9912551,-0.2,192.5,192.8
9 St & 44 Rd,40.74966,-73.9521,-1.3,19.0,19.2
9 St HBLR - Jackson St & 8 St,40.74790720968899,-74.03841152787209,,0.0,0.0
Academy St & Nagle Ave,40.862562,-73.922661,-3.9,4.7,4.9
Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,-0.8,34.6,34.9
Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,-0.9,44.4,44.8
Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,-0.9,46.5,46.9
Adam Clayton Powell Blvd & W 126 St,40.80949534777948,-73.94776493310928,-2.3,67.4,69.0
Adam Clayton Powell Blvd & W 130 St,40.812346,-73.946168,-0.7,27.8,28.0
Adam Clayton Powell Blvd & W 132 St,40.813539,-73.94521,-0.6,30.8,30.9
Adam Clayton Powell Blvd & W 138 St,40.81695971032464,-73.9422959089279,-1.0,43.5,43.9
Adam Clayton Powell Blvd & W 141 St,40.819241,-73.941057,-0.4,26.6,26.7
Adam Clayton Powell Blvd & W 151 St,40.825289,-73.936232,-0.6,20.3,20.4
Adams St & 11 St,40.750915534784994,-74.03354063630104,,0.0,0.0
Adams St & 2 St,40.73981372311843,-74.03690412640572,,0.0,0.0
Adams St & Prospect St,40.70076308326151,-73.98869812488556,-4.4,35.0,36.5
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,0.2,71.6,71.4
Albany Ave & Fulton St,40.6800105,-73.938475,0.5,22.0,21.9
Albany Ave & Park Pl,40.67297,-73.93896,28.4,0.6,0.4
Albany St & Greenwich St,40.709267,-74.013247,-0.5,85.1,85.5
Albee Square W & Fulton St,40.69068758614303,-73.98347854614258,-1.0,12.1,12.2
Albemarle Rd & McDonald Ave,40.645074,-73.979681,-4.3,9.1,9.5
Alexander Ave & E 134 St,40.807466,-73.927107,-0.8,9.9,10.0
Allen St & Hester St,40.71605866,-73.99190759,-2.0,131.6,134.3
Allen St & Rivington St,40.72019576,-73.98997825,-1.4,155.0,157.1
Allen St & Stanton St,40.722055,-73.989111,-0.6,155.5,156.4
Amsterdam Ave & W 119 St,40.80863217506367,-73.95958609887202,2.7,44.5,43.3
Amsterdam Ave & W 125 St,40.813358,-73.956461,-0.3,35.1,35.2
